Subject	client	q_experiment	q_knew_chat	q_knew_voting	q_numKnown_subj	q_duty_inform	q_duty_vote	q_exp_gov	q_exp_people	q_people_gov	q_politicalOpinion	q_male	q_age	q_field_of_study	q_nationality	q_siblings	q_siblings_older	q_siblings_younger	q_opinion_others	q_freedecision	q_trust	q_reciprocity	G1	E1	V1	O1	N1	V2	G2	E2	O2	N2	G3	E3	V3	O3	N3
1	EL-04	"Ungerecht und die anderen Teilnehmer so doof, Gruppe Wieß wollte manipulieren und es waren so viele Ja Sager dabei. Solchen hätte es gezeigt werden müssen und nur C gewählt. Hätte Gruppe A sozialer entschieden und nicht nur zu ihren Gunsten und wäre es nach 10 Ergebnissen halbe halbe, hätte man mehr entscheiden können, so dass jeder was vom Kcuhen hat. Aber die haben uns kaum erwähnt und FALSCH \""ach ihr süßen\""wählt bitte A und denen ist völlig egal wie oft wir leer ausgingen."	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	9	10	10	6	7	weiblich	30	Pharmazie	deutsch	1	1	0	2	5	3	8	7	7	7	7	7	1	1	7	6	7	7	2	5	6	2
2	EL-05	toll, die chatzeit war allerdings zu lang	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	7	4	5	1	8	weiblich	20	Jura	Deutsch	4	1	3	7	7	2	10	4	7	3	7	7	2	4	7	7	7	5	2	5	7	1
3	EL-06	nein, möchte ich nicht	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	5	1	10	5	weiblich	32	Wirtschaftswissenschaften	deutsch	3	0	3	7	8	4	7	7	7	5	5	3	4	2	5	2	4	6	3	6	7	4
4	EL-07	Das Experiment war sehr angenehm bzgl. der Möglickekeiten des Verdienstes. Hypothetisch angenommen alle Blauen hätten immer Alternative c gewählt und alle Weißen immer Alternative A, so hätten alle Teilnehmer in jeder runde etwas verdient. Das gibt es hier bei kaum einem Experiment.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	6	8	3	2	7	3	männlich	27	Lehramt 	deutsch	0	0	0	7	7	4	5	6	5	2	5	5	5	3	5	5	3	5	5	6	6	5
5	EL-08	Lang aber interessant:\r\nJa, warum nicht.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	4	3	4	6	1	7	3	weiblich	22	BWL	HAMBURG	1	1	0	7	5	6	6	5	6	3	4	3	4	2	4	1	1	5	3	6	3	7
6	EL-09	sehr relevant 	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	3	10	10	8	10	8	6	männlich	22	BWL	Franzosisch	2	0	3	9	5	5	5	5	7	3	6	3	4	5	2	2	1	6	6	5	7	3
7	EL-10	Spannend	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	9	10	7	4	8	7	männlich	21	Flugzeugbau	Deutsch	1	0	1	9	3	7	9	5	5	2	5	5	5	5	5	4	4	3	4	6	5	2
8	EL-11	ich habe diese Experiöent interessant gefunden	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	1	8	8	8	8	8	8	weiblich	24	BWL	HAMBURG	2	26	21	7	7	7	7	6	4	4	5	4	4	2	4	3	4	6	4	4	4	4
9	EL-12	ich fand es sehr spannend. und etwas persönlicher als sonst, da man miteinander kommunizieren konnte	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	7	8	5	7	3	weiblich	27	Geographie	deutsch	0	0	0	6	6	3	4	4	3	3	4	7	5	5	3	3	5	4	5	5	5	2
10	EL-13	man musste teilweise zu lange warten...	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	9	2	1	1	2	weiblich	25	jura	deutsch	1	0	1	4	7	2	10	7	6	2	5	6	5	2	5	6	4	6	6	7	5	5
11	EL-14	Langweilig, aber es hat sich ausgezahlt.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	6	8	8	3	3	männlich	34	Politikwissenschaft, abgeschlossen	deutsch	0	0	0	5	4	6	7	4	2	5	4	3	6	5	2	5	5	5	6	5	5	5
12	EL-15	Als blauer war es einwenig langweilig. Als weißer wäre es bestimmt unterhaltsamer gewesen	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	2	2	2	2	5	männlich	27	BWL	deutsch	3	2	1	7	6	7	8	4	6	3	6	5	3	5	7	6	5	5	5	6	7	5
13	EL-16	interessant.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	10	5	4	7	3	männlich	21	Medizin	Deutschland	1	1	0	8	9	5	7	7	5	5	6	5	6	5	4	3	4	5	4	5	5	6
14	EL-20	war gut. leichter verständlich als manch anderes experiment hier.	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	8	7	8	7	männlich	37	keines	Deutsch	1	1	0	2	7	4	7	6	5	5	3	3	5	5	3	5	2	5	6	5	5	5
15	EL-21	Nein	ja, ich kannte die Chatfunktion schon vorher	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	1	10	10	1	3	männlich	27	Bwl	Germany	3	1	2	6	4	7	7	6	5	3	6	4	2	5	4	5	5	5	5	5	6	5
16	EL-22	Erstaunlich und beängstigend wie ängstlich einige Teilnehmer waren, sie haben der Information nicht vertraut und wollten das Sichere haben.	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	10	10	7	4	6	6	weiblich	25	wirtschaft	a	1		1	9	9	8	10	6	5	1	6	3	6	1	6	7	2	7	3	7	6	6
17	EL-23	als blaue Gruppe ziemlich langweilig, nach 1 Runde wusste man bereits das Gruppe weiß immer nur A will, wenn sie für B plädiert haben war es Situation Y und sie waren mal ehrlich.	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	8	5	7	9	3	7	männlich	20	Humanmedizin	Niederländisch	0	0	0	7	10	4	8	7	7	5	6	6	6	3	5	3	4	7	3	5	3	4
18	EL-24	nein	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	7	3	4	3	7	3	männlich	31	Sozialökonomie	Kamerun	3	1	2	6	5	3	6	5	4	3	6	4	5	3	5	5	5	6	5	4	5	5
19	EL-25	-	nein, ich kannte die Chatfunktion noch nicht	nein, ich habe bisher noch nie an Experimenten mit geheimen Wahlen teilgenommen	0	8	1	8	8	6	7	männlich	26	Betriebswirtschaft	Deutsch	2	1	1	9	7	6	8	7	4	4	5	4	5	4	4	2	5	7	3	5	5	5
20	EL-26	hat Spaß gemacht	ja, ich kannte die Chatfunktion schon vorher	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	9	4	3	4	7	6	weiblich	22	BWL	deutsch	2	0	2	2	4	2	6	6	6	2	2	6	5	2	6	2	6	6	2	6	2	1
21	EL-27	Gut, die Zeiten für die Chats waren etwas zu lang, finde ich. \r\n	nein, ich kannte die Chatfunktion noch nicht	ja, ich habe bereits an Experimenten mit geheimen Wahlen teilgenommen	0	7	1	1	1	1	4	weiblich	22	Erziehungswissenschaft	deutsch	2	1	1	7	6	5	10	6	5	5	4	6	7	6	4	5	4	5	5	5	5	3
