Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	lie_c	lie_h	lie
1	situation x wurde gesagt	Weiﬂ  3	1	115	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Situation Y	Weiﬂ  1	1	98	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	was haben die anderen weiﬂen?	Blau  1	1	94	10	4	3	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	Situation Y	Weiﬂ  2	1	89	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Beim mir	Weiﬂ  1	1	87	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	und jetzt alternative B	Weiﬂ  1	1	64	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	Ja	Weiﬂ  2	1	55	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	Hoffentlich war meins dann nicht richtig	Weiﬂ  3	1	42	10	4	1	3	9	4	3		9	4	1	3	9	4	3		0	0	0
1	sonst sinds 0	Weiﬂ  3	1	37	10	4	1	3	9	4	3		8	4	1	3	9	4	3		0	0	0
1	2:1 f¸r Y	Blau  1	1	30	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	jupp	Weiﬂ  3	1	23	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	also B, dann kriegt jeder was	Weiﬂ  3	1	15	3	2	1	3	4	1	2		3	2	1	3	4	1	2		0	0	0
1	Y	Weiﬂ  2	1	14	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	dann B	Blau  3	1	1	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	X	Weiﬂ  3	2	111	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	bei mir wird y gesagt	Weiﬂ  2	2	100	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	ich habe die Info y	Weiﬂ  1	2	98	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	alles klar Y	Weiﬂ  3	2	91	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	dann ist y wahrscheinlicher	Weiﬂ  1	2	89	10	4	1	3	9	4	3		7	4	1	3	9	4	3		0	0	0
1	also w‰hlen wir alle b?	Weiﬂ  2	2	82	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	B	Weiﬂ  3	2	79	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	jap	Weiﬂ  1	2	76	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	c	Blau  2	2	75	10	3	1	3	5	1	3		10	3	1	3	5	1	3		0	0	0
1	c	Blau  3	2	65	10	3	1	3	5	1	3		10	3	1	3	5	1	3		0	0	0
1	das ist sicherer	Blau  2	2	61	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	nett von euch	Weiﬂ  2	2	58	10	4	1	1	9	4	3		1	4	3	1	9	4	3		0	0	0
1	mit B bekommt jeder etwas	Weiﬂ  3	2	54	3	2	1	3	4	1	2		3	2	1	3	4	1	2		0	0	0
1	da kannst du uns glaub nicht ¸berzeugen	Weiﬂ  1	2	52	10	4	1	3	9	4	3		10	4	4	3	9	4	3		0	0	0
1	nein, mit b bekommen wir nichts falls es x ist	Blau  2	2	39	4	4	1	3	9	4	3		4	4	1	3	9	4	3		0	0	0
1	und ihr auch nicht	Blau  2	2	28	10	4	1	3	9	4	3		10	4	3	3	9	4	3		0	0	0
1	aber ist wahrscheinlicher y 	Weiﬂ  1	2	24	7	4	1	3	9	4	3		7	4	1	3	9	4	3		0	0	0
1	Die Wahrscheinlichkeit ist zu gering	Weiﬂ  3	2	23	7	4	1	3	9	4	3		7	4	1	3	9	4	3		0	0	0
1	es wird aber ziemlich sicher y sein	Weiﬂ  2	2	20	10	4	1	3	9	4	3		7	4	1	3	9	4	3		0	0	0
1	dann b oder c	Blau  1	2	10	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
1	B	Weiﬂ  1	2	6	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	B	Weiﬂ  3	2	4	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	mir wurde gesagt es sei situation Y	Weiﬂ  1	3	109	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	Situation Y	Weiﬂ  2	3	109	1	4	1	3	9	4	3		1	4	1	3	9	4	3		0	0	0
1	also B	Weiﬂ  1	3	103	10	2	1	3	4	1	3		10	2	1	3	4	1	3		0	0	0
1	ja	Weiﬂ  2	3	98	10	4	1	3	9	4	3		10	4	1	3	9	4	3		0	0	0
