Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
1	@Blau: Info war 3 mal X	Weiﬂ  2	2	34	1	4	3	3	9	4	3	0	4	0	1	4	2	3	9	4	3	0	4	0	0	0	0	0
1	sitution x wurde f¸r alle angeziegt	Weiﬂ  3	3	48	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	der computer hat uns situation x angezeigt	Weiﬂ  2	3	47	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	wir dachten an a	Weiﬂ  2	3	40	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	3*x	Weiﬂ  1	3	39	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	genau	Weiﬂ  2	3	33	10	4	1	3	9	4	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	0
1	alternative a	Weiﬂ  2	3	25	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	Alternative A	Weiﬂ  3	4	50	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	Wir haben uns f¸r Alternative A	Weiﬂ  1	4	47	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	ja	Weiﬂ  2	4	41	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	dadurch gewinnen alle, blau und weiﬂ	Weiﬂ  1	4	19	3	1	1	3	3	1	2	0	3	0	3	4	1	3	9	4	3	0	4	0	0	0	0	.
2	2*sitution x einmal y	Weiﬂ  2	1	40	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	3 mal x	Weiﬂ  1	2	57	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	wir stimmen f¸r a	Weiﬂ  1	2	51	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	also wir stimmen f¸r a	Weiﬂ  2	2	47	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	Alternative A	Weiﬂ  1	3	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	optimum: Alternative A	Weiﬂ  3	3	30	3	1	1	3	3	1	2	0	3	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	Situation X, stimmt alle f¸r A	Weiﬂ  2	4	45	2	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	1	0	0	0
3	2*y	Weiﬂ  1	1	23	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
3	Alternative A	Weiﬂ  2	1	15	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	1*x	Weiﬂ  1	1	10	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
3	X, also A	Weiﬂ  3	1	3	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	.
3	x	Weiﬂ  3	2	59	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	a	Weiﬂ  3	2	56	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	und A	Weiﬂ  1	2	55	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	wieder 3 mal x	Weiﬂ  3	2	40	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	Situation X, alle A w‰hlen	Weiﬂ  3	3	54	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
3	3*Situation X	Weiﬂ  2	4	45	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	Info ist 3 mal X	Weiﬂ  1	4	44	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	Situation X, Alternative A	Weiﬂ  3	4	42	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
4	b	Weiﬂ  1	1	60	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
4	Situation X, stimmt f¸r A	Weiﬂ  2	1	49	2	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	1	0	1	0
4	Quatsch! Sitaution X	Weiﬂ  1	1	45	2	4	1	3	9	4	3	0	4	0	2	4	1	2	9	4	3	0	4	0	1	1	1	0
4	Situation Y	Weiﬂ  1	2	50	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
4	Situation X	Weiﬂ  3	2	31	2	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	1	0	0	0
4	Alternative A	Weiﬂ  3	2	20	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
4	situation x	Weiﬂ  2	2	18	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
4	wir hatten an a gedacht	Weiﬂ  1	3	15	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
4	2*x 1*y	Weiﬂ  2	3	1	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	1	0
4	situation Y, alternative B	Weiﬂ  3	4	46	1	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0	1
4	-.-	Weiﬂ  1	4	30				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
5	x	Weiﬂ  2	1	59	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
5	also a	Weiﬂ  2	1	52	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
5	X	Weiﬂ  3	2	54	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
5	X	Weiﬂ  2	2	50	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
5	Alternative A!	Weiﬂ  3	2	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
5	Situation Y, Alternative B	Weiﬂ  2	3	48	1	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0	1
5	2*x 1*y als Info	Weiﬂ  2	4	48	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	1	0
5	eher a	Weiﬂ  3	4	37	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
6	X	Weiﬂ  2	1	59	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	1	0
6	drei mal	Weiﬂ  2	1	55	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
6	x	Weiﬂ  1	1	53	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	1	.
6	sodass a	Weiﬂ  2	1	52	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	0
6	3 mal x	Weiﬂ  2	2	58	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
6	a	Weiﬂ  2	2	48	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
6	3x X	Weiﬂ  3	3	56	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
6	3*x	Weiﬂ  1	3	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
6	wir dachten an a	Weiﬂ  2	3	48	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
6	Wirklich!	Weiﬂ  3	3	47	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
6	Situation X	Weiﬂ  1	4	55	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
6	alle f¸r A stimmen	Weiﬂ  2	4	48	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
6		Weiﬂ  2	4	48				3				1										1			0	0	0	.
6		Weiﬂ  1	4	40				3				1										1			0	0	0	.
6		Weiﬂ  2	4	39				3				1										1			0	0	0	.
6	ja denke ist das best	Weiﬂ  3	4	36	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
