Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie
1	Irgendwlche Vorschl‰ge?	Weiﬂ  2	1	53	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	Ich w‰re f¸r Situation X  Alternative A	Weiﬂ  1	1	51	10	1	1	3	3	2	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0
1	Ich auch	Weiﬂ  2	1	45	10	1	1	3	3	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	okay	Weiﬂ  1	1	32	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	Easy	Weiﬂ  2	1	28	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	Weiﬂ 3?	Weiﬂ  2	1	22	10	4	4	3	9	4	3	0	4	0	10	4	4	3	9	4	3	0	4	0	0	0	0
1	B	Weiﬂ  3	1	22	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0
1	Hallo!	Weiﬂ  1	2	100	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	hello!	Weiﬂ  3	2	97	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	was habt ihr f¸r situationen?	Weiﬂ  1	2	86	10	4	1	3	9	4	3	0	4	0	10	4	2	3	9	4	3	0	4	0	0	0	0
1	bei mir ist es x!	Weiﬂ  1	2	80	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
